"","field_1","date","time","geo_code","crime_cate","address","latitude","longitude"
"139",435198,"03/22/2018","13:45","605-08","Theft","1400 SILVER ST ,URBANA,IL","40.091568","-88.191664"
"140",435225,"03/23/2018","08:00","546-10","Theft","600 W PARK ST ,URBANA,IL","40.117468","-88.214612"
"141",435237,"03/23/2018","13:30","546-09","Theft","1000 W UNIVERSITY AV ,URBANA,IL","40.116499","-88.22089"
"142",435240,"03/23/2018","17:20","606-03","Theft","2600 PHILO RD ,URBANA,IL","40.0850125274757","-88.1904208723941"
"143",435259,"03/24/2018","00:40","606-01","Theft","1700 E FLORIDA AVE ,URBANA,IL","40.098355","-88.188683"
"144",435266,"03/24/2018","04:15","605-08","Theft","1200 E HARDING DR ,URBANA,IL","40.0939125578162","-88.1937479135281"
"145",435267,"03/24/2018","06:16","547-11","Theft","200 N VINE ST ,URBANA,IL","40.11403845","-88.2029918291859"
"146",435286,"03/25/2018","05:05","605-08","Theft","1200 E HARDING DR ,URBANA,IL","40.0939125578162","-88.1937479135281"
"147",435289,"03/25/2018","08:00","546-14","Theft","600 W MAIN ST ,URBANA,IL","40.11403","-88.214855"
"148",435301,"03/25/2018","20:30","547-11","Theft","200 N VINE ST ,URBANA,IL","40.11403845","-88.2029918291859"
"149",435310,"03/26/2018","11:00","547-03","Theft","800 OAKLAND AV ,URBANA,IL","40.1238958591752","-88.1999227725193"
"150",435326,"03/26/2018","19:00","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"151",435330,"03/26/2018","21:00","519-07","Theft","1800 CUNNINGHAM AV ,URBANA,IL","40.115082","-88.207283"
"152",435338,"03/27/2018","01:30","546-02","Theft","1500 N LINCOLN AV ,URBANA,IL","40.1264882","-88.2178887379599"
"153",435343,"03/27/2018","08:40","547-11","Theft","200 N VINE ST ,URBANA,IL","40.11403845","-88.2029918291859"
"154",435362,"03/27/2018","18:09","606-03","Theft","2500 PHILO RD ,URBANA,IL","40.08606515","-88.1873468510269"
"155",435419,"03/29/2018","14:30","576-09","Theft","1200 S VINE ST ,URBANA,IL","40.1027911980791","-88.2048633929431"
"156",435423,"03/29/2018","19:00","546-14","Theft","700 W MAIN ST ,URBANA,IL","40.114184","-88.215922"
"157",435450,"03/30/2018","12:30","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"158",435458,"03/30/2018","16:30","575-04","Theft","1 CEDAR ST ,URBANA,IL","40.108203","-88.210296"
"159",435469,"03/30/2018","20:30","547-03","Theft","1500 CUNNINGHAM AV ,URBANA,IL","40.115082","-88.207283"
"160",435487,"03/31/2018","07:10","605-08","Theft","1900 PHILO RD ,URBANA,IL","40.094756","-88.19059"
"161",435502,"04/01/2018","00:35","575-06","Theft","700 S GOODWIN AVE ,URBANA,IL","40.106861","-88.223744"
"162",435507,"04/01/2018","10:00","575-03","Theft","800 W GREEN ST ,URBANA,IL","40.110692","-88.217891"
"163",435508,"04/01/2018","10:39","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"164",435509,"04/01/2018","10:39","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"165",435523,"04/02/2018","12:00","547-02","Theft","1300 CUNNINGHAM AV ,URBANA,IL","40.115082","-88.207283"
"166",435524,"04/02/2018","12:05","547-08","Theft","100 E UNIVERSITY AV ,URBANA,IL","40.116478","-88.207363"
"167",435527,"04/02/2018","17:00","547-08","Theft","500 CUNNINGHAM AV ,URBANA,IL","40.115082","-88.207283"
"168",435568,"04/03/2018","17:00","547-03","Theft","800 OAKLAND AV ,URBANA,IL","40.1238958591752","-88.1999227725193"
"169",435582,"04/04/2018","00:01","605-08","Theft","2000 PHILO RD ,URBANA,IL","40.0947610251256","-88.1905897487437"
"170",435603,"04/04/2018","20:00","546-08","Theft","1200 W UNIVERSITY AV ,URBANA,IL","40.116478","-88.224203"
"171",435612,"04/05/2018","01:18","605-08","Theft","1200 E HARDING DR ,URBANA,IL","40.0939125578162","-88.1937479135281"
"172",435681,"04/06/2018","17:30","576-02","Theft","300 E MAIN ST ,URBANA,IL","40.112653","-88.203662"
"173",435716,"04/07/2018","13:15","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"174",435717,"04/07/2018","16:40","605-04","Theft","1800 S COTTAGE GROVE AV ,URBANA,IL","40.094839","-88.194727"
"175",435736,"04/08/2018","08:00","546-02","Theft","1300 N LINCOLN AV ,URBANA,IL","40.1332712","-88.2196384"
"176",435748,"04/08/2018","15:50","606-03","Theft","2500 PHILO RD ,URBANA,IL","40.08606515","-88.1873468510269"
"177",435751,"04/08/2018","17:39","519-02","Theft","2700 CUNNINGHAM AV ,URBANA,IL","40.115082","-88.207283"
"178",435752,"04/08/2018","17:50","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"179",435759,"04/08/2018","20:35","519-07","Theft","2000 N KENYON RD ,URBANA,IL","40.134325","-88.20052"
"180",435773,"04/09/2018","11:20","547-11","Theft","200 N VINE ST ,URBANA,IL","40.11403845","-88.2029918291859"
"181",435774,"04/09/2018","12:00","605-08","Theft","1200 E HARDING DR ,URBANA,IL","40.0939125578162","-88.1937479135281"
"182",435775,"04/09/2018","12:00","575-14","Theft","800 W VERMONT AV ,URBANA,IL","40.099899","-88.217723"
"183",435776,"04/09/2018","13:25","547-11","Theft","200 N VINE ST ,URBANA,IL","40.11403845","-88.2029918291859"
"184",435779,"04/09/2018","14:20","576-09","Theft","1000 S RACE ST ,URBANA,IL","40.104403","-88.20954"
"185",435794,"04/09/2018","20:00","547-03","Theft","800 OAKLAND AV ,URBANA,IL","40.1238958591752","-88.1999227725193"
"186",435828,"04/10/2018","14:05","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"187",435900,"04/12/2018","11:35","547-11","Theft","200 N VINE ST ,URBANA,IL","40.11403845","-88.2029918291859"
"188",435901,"04/12/2018","11:35","547-11","Theft","200 N VINE ST ,URBANA,IL","40.11403845","-88.2029918291859"
"189",435926,"04/13/2018","02:00","576-06","Theft","500 E CALIFORNIA AVE ,URBANA,IL","40.108575","-88.202353"
"190",435933,"04/13/2018","13:00","576-12","Theft","1100 PHILO RD ,URBANA,IL","40.1037486557042","-88.1918443138485"
"191",435944,"04/13/2018","16:45","547-03","Theft","800 OAKLAND AV ,URBANA,IL","40.1238958591752","-88.1999227725193"
"192",435945,"04/13/2018","16:59","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"193",435947,"04/13/2018","17:00","548-09","Theft","2100 E UNIVERSITY AV ,URBANA,IL","40.1147810086461","-88.181386325437"
"194",435992,"04/14/2018","16:02","546-15","Theft","500 W UNIVERSITY AV ,URBANA,IL","40.11657","-88.212937"
"195",436005,"04/14/2018","18:00","548-09","Theft","2100 E UNIVERSITY AV ,URBANA,IL","40.1147810086461","-88.181386325437"
"196",436015,"04/15/2018","01:15","575-06","Theft","700 S GOODWIN AVE ,URBANA,IL","40.106861","-88.223744"
"197",436026,"04/15/2018","13:50","547-03","Theft","1500 CUNNINGHAM AV ,URBANA,IL","40.115082","-88.207283"
"198",436052,"04/16/2018","14:54","575-07","Theft","700 W OREGON ST ,URBANA,IL","40.107538","-88.216164"
