"","date","time","geo_code","crime_category","address"
"449146","03/14/2019","23:48","547-08","Sex Offenses","800 E PARK ST ,URBANA,IL"
"449212","03/16/2019","20:20","576-11","Sex Offenses","1000 S WEBBER ST ,URBANA,IL"
"449297","03/19/2019","08:00","491-02","Sex Offenses","1 AIRPORT ,URBANA,IL"
"449512","03/24/2019","12:00","606-01","Sex Offenses","1900 E FLORIDA AV ,URBANA,IL"
"449674","03/28/2019","12:35","546-15","Sex Offenses","1 W MAIN ST ,URBANA,IL"
"449730","03/30/2019","04:00","576-09","Sex Offenses","1000 S RACE ST ,URBANA,IL"
"451529","05/18/2019","08:00","546-15","Sex Offenses","100 W MAIN ST ,URBANA,IL"
"451666","05/22/2019","03:35","547-05","Sex Offenses","900 N BROADWAY AV ,URBANA,IL"
"453489","07/10/2019","14:50","546-14","Sex Offenses","400 W MAIN ST ,URBANA,IL"
"454006","07/24/2019","02:51","605-04","Sex Offenses","1800 S COTTAGE GROVE AV ,URBANA,IL"
